,diocese_11,diocese_11_label,event_lead_speed,time_delta,distance,distance_sum,distance_log,time_delta_sum,event_count,diocese_lead_speed
10,https://g17.dhi-roma.it/resources/institution_117,Boianensis,0.09463656095764106,109.75,171.0305816877861,2736.4893070045778,5.141842380792094,1756.0,16,0.04685050005277535
3,https://g17.dhi-roma.it/resources/institution_107,Beneventana,0.1129707424289173,114.26923076923077,207.45115331704721,5393.729986243227,5.334895906257504,2971.0,26,0.046687072892189534
63,https://g17.dhi-roma.it/resources/institution_203,Compostellana,0.05273604334011322,160.5,1729.723641553342,24216.130981746788,7.455716929964416,2247.0,14,0.04645306498420197
307,https://g17.dhi-roma.it/resources/institution_630,Vicentina,0.05072911628145827,130.83333333333334,412.98652931513953,4955.838351781675,6.023414975758733,1570.0,12,0.04603884057904764
190,https://g17.dhi-roma.it/resources/institution_423,Nucerina,0.06092736861559738,107.38461538461539,138.6864905349431,1802.9243769542602,4.932215921963794,1396.0,13,0.045930377496797514
137,https://g17.dhi-roma.it/resources/institution_345,Lucensis,0.05511145036883208,161.6,1652.1613560196888,16521.61356019689,7.4098396224466185,1616.0,10,0.04585296796068452
198,https://g17.dhi-roma.it/resources/institution_435,Ovetensis,0.05022028542162041,161.0,1510.370527141622,12082.964217132976,7.320110281920674,1288.0,8,0.04546652349019052
352,https://g17.dhi-roma.it/resources/institution_78,Astoricensis,0.05060677414923853,162.45454545454547,1530.265939143469,16832.92533057816,7.333196815715795,1787.0,11,0.045139991590863876
168,https://g17.dhi-roma.it/resources/institution_393,Montis Falisci/Montis Flaconensis,0.0960897572868279,100.2,82.1515243816662,821.5152438166621,4.408565400387393,1002.0,10,0.04399765868650093
283,https://g17.dhi-roma.it/resources/institution_586,Tudensis,0.046550532795247894,172.5,1746.8159591169826,10480.895754701896,7.465549957771287,1035.0,6,0.04327855047983355
146,https://g17.dhi-roma.it/resources/institution_356,Marianensis,0.04860771608265912,138.5,399.79041927514794,2398.7425156508875,5.990940457985136,831.0,6,0.04325588778328618
128,https://g17.dhi-roma.it/resources/institution_320,Lauretana,0.052575451882093206,125.8,194.5686683775139,3891.3733675502776,5.270785151534871,2516.0,20,0.04189813316005462
