,diocese_id,diocese_name,average_combined_score,average_ratio_score,count_positive_score,total_events,unique_persons,likelihood
218,https://g17.dhi-roma.it/resources/institution_269,Fulginatensis,0.0,0.0,0,11,1,typical
152,https://g17.dhi-roma.it/resources/institution_184,Casenatensis,0.0,0.0,0,14,1,typical
199,https://g17.dhi-roma.it/resources/institution_244,Egitaniensis,0.0,0.0,0,6,1,typical
269,https://g17.dhi-roma.it/resources/institution_340,Lomberiensis,0.0,0.0,0,6,1,typical
233,https://g17.dhi-roma.it/resources/institution_294,Hipporegiensis,0.0,0.0,0,8,1,typical
294,https://g17.dhi-roma.it/resources/institution_37,Aleriensis,0.0,0.0,0,7,1,typical
270,https://g17.dhi-roma.it/resources/institution_341,Lotevensis,0.0,0.0,0,12,1,typical
123,https://g17.dhi-roma.it/resources/institution_148,Cameracensis,0.0,0.0,0,14,1,typical
122,https://g17.dhi-roma.it/resources/institution_146,Calvensis,0.0,0.0,0,6,1,typical
281,https://g17.dhi-roma.it/resources/institution_355,Mantuana,0.0,0.0,0,12,1,typical
116,https://g17.dhi-roma.it/resources/institution_14,Abrincensis,0.0,0.0,0,14,1,typical
288,https://g17.dhi-roma.it/resources/institution_363,Materanensis,0.0,0.0,0,18,1,typical
290,https://g17.dhi-roma.it/resources/institution_365,Maurianensis,0.0,0.0,0,5,1,typical
292,https://g17.dhi-roma.it/resources/institution_367,Mechliniensis-Bruxellensis,0.0,0.0,0,8,1,typical
283,https://g17.dhi-roma.it/resources/institution_357,Marsicana,0.0,0.0,0,10,1,typical
238,https://g17.dhi-roma.it/resources/institution_304,Iserniensis,0.0,0.0,0,10,1,typical
241,https://g17.dhi-roma.it/resources/institution_307,Jadrensis,0.0,0.0,0,8,1,typical
244,https://g17.dhi-roma.it/resources/institution_310,Juvenacensis,0.0,0.0,0,15,1,typical
138,https://g17.dhi-roma.it/resources/institution_166,Cassanensis,0.0,0.0,0,6,1,typical
212,https://g17.dhi-roma.it/resources/institution_263,Foroiuliensis,0.0,0.0,0,10,1,typical
310,https://g17.dhi-roma.it/resources/institution_391,Montis Albani,0.0,0.0,0,15,1,typical
371,https://g17.dhi-roma.it/resources/institution_461,Placentina provinciae Compostellanae,0.0,0.0,0,27,1,typical
299,https://g17.dhi-roma.it/resources/institution_376,Metensis,0.0,0.0,0,5,1,typical
312,https://g17.dhi-roma.it/resources/institution_393,Montis Falisci/Montis Flaconensis,0.0,0.0,0,12,1,typical
253,https://g17.dhi-roma.it/resources/institution_320,Lauretana,0.0,0.0,0,13,1,typical
307,https://g17.dhi-roma.it/resources/institution_387,Moguntina,0.0,0.0,0,6,1,typical
105,https://g17.dhi-roma.it/resources/institution_129,Brixiensis,0.0,0.0,0,16,1,typical
304,https://g17.dhi-roma.it/resources/institution_383,Mindoniensis,0.0,0.0,0,9,1,typical
111,https://g17.dhi-roma.it/resources/institution_135,Burgi S. Donnini,0.0,0.0,0,13,1,typical
97,https://g17.dhi-roma.it/resources/institution_119,Boloniensis,0.0,0.0,0,12,1,typical
85,https://g17.dhi-roma.it/resources/institution_1154,sancti pontii thomeriarum,0.0,0.0,0,5,1,typical
342,https://g17.dhi-roma.it/resources/institution_427,Oloronensis,0.0,0.0,0,6,1,typical
338,https://g17.dhi-roma.it/resources/institution_421,Novariensis,0.0,0.0,0,28,1,typical
336,https://g17.dhi-roma.it/resources/institution_42,Alifana,0.0,0.0,0,17,1,typical
329,https://g17.dhi-roma.it/resources/institution_412,Neocastrensis,0.0,0.0,0,9,1,typical
326,https://g17.dhi-roma.it/resources/institution_41,Algarensis,0.0,0.0,0,6,1,typical
325,https://g17.dhi-roma.it/resources/institution_409,Neapolitana,0.0,0.0,0,11,1,typical
102,https://g17.dhi-roma.it/resources/institution_126,Brindusina,0.0,0.0,0,16,1,typical
298,https://g17.dhi-roma.it/resources/institution_375,Messanensis,0.0,0.0,0,65,1,typical
380,https://g17.dhi-roma.it/resources/institution_471,Potentina,0.0,0.0,0,6,1,typical
385,https://g17.dhi-roma.it/resources/institution_48,Anagnina,0.0,0.0,0,9,1,typical
387,https://g17.dhi-roma.it/resources/institution_481,Ravennatensis,0.0,0.0,0,8,1,typical
388,https://g17.dhi-roma.it/resources/institution_482,Reatina,0.0,0.0,0,33,1,typical
395,https://g17.dhi-roma.it/resources/institution_490,Ripana,0.0,0.0,0,7,1,typical
375,https://g17.dhi-roma.it/resources/institution_465,Polignanensis,0.0,0.0,0,9,1,typical
348,https://g17.dhi-roma.it/resources/institution_434,Ostunensis,0.0,0.0,0,5,1,typical
349,https://g17.dhi-roma.it/resources/institution_435,Ovetensis,0.0,0.0,0,30,1,typical
350,https://g17.dhi-roma.it/resources/institution_436,Oxonensis,0.0,0.0,0,31,1,typical
351,https://g17.dhi-roma.it/resources/institution_437,Pacensis,0.0,0.0,0,7,1,typical
353,https://g17.dhi-roma.it/resources/institution_44,Amalphitana,0.0,0.0,0,8,1,typical
354,https://g17.dhi-roma.it/resources/institution_440,Palentina,0.0,0.0,0,13,1,typical
91,https://g17.dhi-roma.it/resources/institution_117,Boianensis,0.0,0.0,0,20,1,typical
362,https://g17.dhi-roma.it/resources/institution_451,Perusina,0.0,0.0,0,15,1,typical
368,https://g17.dhi-roma.it/resources/institution_459,Pistoriensis,0.0,0.0,0,13,1,typical
136,https://g17.dhi-roma.it/resources/institution_162,Carthaginensis,0.0,0.0,0,13,1,typical
490,https://g17.dhi-roma.it/resources/institution_615,Vaurensis,0.0,0.0,0,14,1,typical
135,https://g17.dhi-roma.it/resources/institution_161,Carpentoractensis,0.0,0.0,0,6,1,typical
441,https://g17.dhi-roma.it/resources/institution_550,Sutrina,0.0,0.0,0,5,1,typical
