"event","event_label","date_value_7","date_value_4","diocese_11","diocese_11_label","province","province_label","map_15","place_13","place_13_label","place_17","place_17_label","map_19","type_labels"
"https://g17.dhi-roma.it/resources/event_3285","APOSTOLIC PROVISION 3285","1675-07-29","1677-10-29","https://g17.dhi-roma.it/resources/institution_114","Bituntina","https://g17.dhi-roma.it/resources/institution_876","Bari","POINT (16.691666666667 41.108333333333)","https://g17.dhi-roma.it/resources/place_110","Bitonto","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","deceased in Rome,apostolic provision,papal grace,death of previous holder,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_534","APOSTOLIC PROVISION 534","1621-07-16","1622-05-17","https://g17.dhi-roma.it/resources/institution_92","Aversana","https://g17.dhi-roma.it/resources/institution_849","Napoli","POINT (14.2064748 40.9730341)","https://g17.dhi-roma.it/resources/place_88","Aversa","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_398","APOSTOLIC PROVISION 398","1621-10-16","1622-10-12","https://g17.dhi-roma.it/resources/institution_98","Barbastrensis","https://g17.dhi-roma.it/resources/institution_869","Zaragoza","POINT (0.11666666666667 42.033333333333)","https://g17.dhi-roma.it/resources/place_94","Barbastro","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Prior,Order of Saint Benedict"
"https://g17.dhi-roma.it/resources/event_4077","APOSTOLIC PROVISION 4077","1622-01-16","1622-04-13","https://g17.dhi-roma.it/resources/institution_63","Aquilana","https://g17.dhi-roma.it/resources/institution_849","Napoli","POINT (13.391991666667 42.354008333333)","https://g17.dhi-roma.it/resources/place_59","L'Aquila","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,Parish Church,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_835","APOSTOLIC PROVISION 835","1622-08-16","1622-11-13","https://g17.dhi-roma.it/resources/institution_693","pergamen","https://g17.dhi-roma.it/resources/institution_964","Constantinople","POINT (27.183333 39.116667)","https://g17.dhi-roma.it/resources/place_747","Pergamon","https://g17.dhi-roma.it/resources/place_972","St. Peter's Basilica","POINT (12.453416666666667 41.90222222222222)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_7011","APOSTOLIC PROVISION 7011","1676-03-11","1678-06-11","https://g17.dhi-roma.it/resources/institution_126","Brindusina","https://g17.dhi-roma.it/resources/institution_862","Brindisi","POINT (17.945833333333 40.638333333333)","https://g17.dhi-roma.it/resources/place_121","Brindisi","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_3524","APOSTOLIC PROVISION 3524","1677-04-15","1678-02-10","https://g17.dhi-roma.it/resources/institution_605","Valentina","https://g17.dhi-roma.it/resources/institution_870","Tarragona","POINT (-0.3763888888888889 39.47)","https://g17.dhi-roma.it/resources/place_589","Valencia","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_1952","APOSTOLIC PROVISION 1952","1622-09-29","1622-09-29","https://g17.dhi-roma.it/resources/institution_223","Cremonensis","https://g17.dhi-roma.it/resources/institution_838","Milano","POINT (10.024722222222222 45.13333333333333)","https://g17.dhi-roma.it/resources/place_216","Cremona","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","deceased in Rome,Placing a commenda,apostolic provision,papal grace,Motu proprio,death of previous holder,Monastery,Abbot"
"https://g17.dhi-roma.it/resources/event_7881","APOSTOLIC PROVISION 7881","1622-04-10","1622-04-21","https://g17.dhi-roma.it/resources/institution_108","Bergomensis","https://g17.dhi-roma.it/resources/institution_838","Milano","POINT (9.67 45.695)","https://g17.dhi-roma.it/resources/place_104","Bergamo","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","deceased in Rome,apostolic provision,papal grace,death of previous holder,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_1984","APOSTOLIC PROVISION 1984","1622-08-16","1622-09-26","https://g17.dhi-roma.it/resources/institution_668","Vercellensis","https://g17.dhi-roma.it/resources/institution_951","Vercelli","POINT (8.423055555555555 45.32555555555555)","https://g17.dhi-roma.it/resources/place_698","Vercelli","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_2476","APOSTOLIC PROVISION 2476","1621-12-16","1622-12-10","https://g17.dhi-roma.it/resources/institution_530","Senensis","https://g17.dhi-roma.it/resources/institution_845","Siena","POINT (11.331388888889 43.318333333333)","https://g17.dhi-roma.it/resources/place_518","Siena","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Pastor,church"
"https://g17.dhi-roma.it/resources/event_3912","APOSTOLIC PROVISION 3912","1622-01-16","1622-04-05","https://g17.dhi-roma.it/resources/institution_298","Illerdensis","https://g17.dhi-roma.it/resources/institution_870","Tarragona","POINT (0.63333333333333 41.616666666667)","https://g17.dhi-roma.it/resources/place_289","Lleida","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Pastor,church"
